timestamp_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw
300285248.0,0.144,0.0171,-0.6064,9.501,-81.417,3.708,122.62576252328847,-24.43010215115791,-46.242642289998976
300298248.0,0.1553,-0.0225,-0.5059,5.106,-79.708,-1.113,116.68874425980334,-25.29917897996832,-46.25432317999898
300311248.0,0.1787,-0.0464,-0.4346,2.36,-78.243,-1.48,110.90643286466795,-26.23597420798809,-46.270775069998976
300324248.0,0.2583,-0.0225,-0.3906,0.345,-75.374,-1.174,105.15815089894312,-27.34138218807199,-46.28324895999898
300337248.0,0.2676,-0.0669,-0.3105,-2.523,-77.999,-0.625,99.6655403783873,-28.591756046016613,-46.28858584999898
300350248.0,0.2642,-0.0605,-0.2915,-5.514,-74.337,-1.785,94.23599874508287,-29.799923546576892,-46.30900273999898
300363248.0,0.2324,-0.0493,-0.3091,-7.894,-62.374,-3.25,88.8314661006493,-30.73163974891044,-46.34846462999898
300376248.0,0.2358,-0.04,-0.2656,-7.345,-45.894,-2.09,83.53206714544781,-31.52850532162645,-46.37284651999898
300389248.0,0.2915,-0.0186,-0.2412,-7.711,-29.964,-1.358,78.25089504259371,-32.28710050231646,-46.38771240999898
300402248.0,0.2705,0.0103,-0.2349,-7.833,-13.485,-3.616,80.13538556338116,-32.794406970202886,-46.431932299998984
300415248.0,0.2588,-0.0068,-0.2334,-12.472,4.094,-8.132,74.80667614028474,-33.04641222040154,-46.53486018999898
300428248.0,0.2187,0.0,-0.1558,-17.843,29.24,-5.996,76.68273809143905,-33.104861598647474,-46.61002007999898
300441248.0,0.2212,-0.0161,-0.0894,-19.979,45.536,-5.325,71.49824496111808,-33.21732523707648,-46.67645696999898
300454248.0,0.2329,-0.0312,-0.0337,-23.763,59.086,-4.531,67.02093496295184,-33.37833375947779,-46.732571859998984
300467248.0,0.208,-0.0391,0.0317,-20.895,63.725,-4.287,64.39449172334389,-33.42804068131535,-46.78551474999898
300480248.0,0.2222,-0.0513,0.0342,-13.815,68.486,-7.949,61.80391543335661,-33.37801834570449,-46.88606363999898
300493248.0,0.2075,-0.0713,-0.0107,-5.819,72.819,-7.766,58.52252445680724,-33.20074590985117,-46.98423352999898
300506248.0,0.1924,-0.1089,-0.0947,3.153,76.969,-7.705,54.771550692366596,-32.61989457706305,-47.08161041999898
300519248.0,0.1821,0.0181,-0.1763,-3.622,84.172,-11.489,57.11225497325115,-31.811895865671552,-47.22817930999898
300532248.0,0.1753,-0.0024,-0.3101,-8.444,100.224,-10.513,52.27081717436115,-30.489590444636214,-47.36206019999898
300545248.0,0.1621,-0.0156,-0.3286,-9.481,121.83,-9.109,47.558488718991235,-28.85352998235545,-47.47768908999898
300558248.0,0.1787,-0.0303,-0.3716,-6.918,133.671,-7.034,43.011929806730706,-27.08687149685465,-47.566342979998986
300571248.0,0.1489,-0.0347,-0.4297,-1.974,133.366,-4.898,38.61839466035655,-25.228355970042024,-47.62722886999899
300584248.0,0.1372,-0.001,-0.5503,1.017,127.079,-3.005,34.26058098588303,-23.38600187375023,-47.66350575999899
300597248.0,0.1128,-0.0039,-0.6924,5.961,121.464,-1.663,30.057282195765215,-21.55709494579532,-47.68233664999899
