t,ax,ay,az,gx,gy,gz
25335244.0,-0.0176,0.0005,-1.062,0.034,0.032,0.527
25348244.0,-0.0195,0.0044,-1.0596,-0.027,-0.029,0.771
25361244.0,-0.02,0.0044,-1.0684,0.095,0.032,0.527
25374244.0,-0.02,0.001,-1.0659,-0.027,0.032,0.466
25387244.0,-0.019,0.0024,-1.062,-0.332,0.032,0.344
25400244.0,-0.0195,0.002,-1.0659,0.218,-0.09,0.527
25413244.0,-0.0195,0.0024,-1.0635,0.034,0.032,0.71
25426244.0,-0.019,0.002,-1.0664,-0.271,-0.273,0.588
25439244.0,-0.021,0.0029,-1.0688,-0.027,0.093,0.649
25452244.0,-0.02,0.0049,-1.064,-0.149,-0.09,0.771
25465244.0,-0.019,0.0024,-1.061,0.034,0.032,0.893
25478244.0,-0.019,0.0039,-1.063,-0.21,-0.151,0.527
25491244.0,-0.019,0.0039,-1.0654,0.034,-0.09,0.71
25504244.0,-0.022,0.0054,-1.061,0.095,-0.09,0.832
25517244.0,-0.0195,0.0015,-1.0659,0.095,-0.029,0.71
25530244.0,-0.0195,0.0015,-1.0635,-0.271,0.032,0.588
25543244.0,-0.0195,0.0088,-1.0649,0.034,-0.273,0.649
25556244.0,-0.0156,0.0034,-1.0557,0.095,0.276,0.771
25569244.0,-0.02,0.002,-1.062,-0.027,0.276,0.405
25582244.0,-0.0176,0.0034,-1.0664,-0.027,0.032,0.771
25595244.0,-0.0127,0.0024,-1.0654,-0.088,-0.273,0.71
25608244.0,-0.0176,0.0054,-1.0601,-0.149,0.093,0.71
25621244.0,-0.0225,0.0044,-1.0605,-0.027,-0.029,0.588
25634244.0,-0.0166,0.0054,-1.0688,-0.21,0.154,0.954
25647244.0,-0.0171,0.001,-1.0684,-0.027,-0.029,0.527
25660244.0,-0.019,0.001,-1.061,0.095,0.093,0.588
25673244.0,-0.0146,0.0044,-1.0649,-0.027,-0.029,0.344
25686244.0,-0.0176,0.0,-1.0649,0.218,-0.09,0.527
