t,ax,ay,az,gx,gy,gz
790151245,0.1001,0.0195,-1.0444,-0.410,-0.239,5.371
790164245,0.0757,-0.0322,-1.0381,-1.447,-0.117,2.807
790177245,0.0645,-0.0273,-1.0464,-3.400,-0.727,0.915
790190245,0.0898,-0.0430,-1.1265,0.567,0.311,2.258
790203245,0.1045,0.0117,-1.0703,-0.471,-0.239,2.868
790216245,0.0889,-0.0464,-1.0776,-0.043,0.250,6.042
790229245,0.1143,0.0283,-1.0371,-1.630,0.189,6.592
790242245,0.1553,0.0464,-1.1001,-1.752,0.982,13.550
790255245,0.0923,-0.0054,-1.0464,-1.142,-1.398,16.968
790268245,0.1191,-0.0332,-1.1631,-0.715,3.362,17.517
790281245,0.0376,-0.0347,-0.9653,-1.569,-2.619,16.479
790294245,0.0703,-0.0425,-1.0410,-0.715,-0.056,9.033
790307245,0.0552,-0.0337,-1.0576,-0.410,0.189,2.441
790320245,0.0908,-0.0151,-1.0542,-0.104,0.005,1.098
790333245,0.1118,0.0181,-1.0610,-0.532,-0.178,2.624
790346245,0.1094,-0.0010,-1.0776,0.201,-0.239,0.793
790359245,0.1182,0.0298,-1.0464,-0.532,0.067,2.990
790372245,-0.1592,-0.0220,-0.7529,6.793,-17.451,9.460
790385245,0.1523,0.0474,-1.0894,-1.020,0.616,8.362
790398245,0.1284,0.0928,-1.0430,-3.889,0.677,15.320
790411245,0.1255,0.0605,-1.0225,-4.377,2.874,20.263
790424245,0.0303,-0.0308,-1.0610,-9.687,0.799,19.653
790437245,0.0049,-0.3550,-1.0415,7.220,-0.788,2.685
790450245,0.1001,-0.0146,-1.0742,-0.104,0.372,0.488
790463245,0.0947,-0.0142,-1.0952,1.360,-0.971,-1.099
790476245,0.0869,0.0029,-1.0610,1.238,-1.276,0.305
790489245,0.0952,-0.0171,-1.0596,3.069,-3.351,0.427
790502245,0.1333,0.0112,-1.0679,0.079,-2.375,6.408
790515245,0.0708,-0.0366,-1.0601,-0.165,-0.178,0.366
790528245,0.0879,-0.0112,-1.0518,0.323,-0.666,0.122
790541245,0.0815,-0.0078,-1.0571,-0.471,0.005,-0.000
790554245,0.0874,-0.0093,-1.0610,-0.532,0.067,-0.000
790567245,0.0923,-0.0171,-1.0576,0.445,-0.178,-0.122
790580245,0.0894,-0.0098,-1.0508,0.079,-0.300,0.122
790593245,0.0933,-0.0107,-1.0601,0.689,-0.544,0.122
790606245,0.0928,-0.0103,-1.0596,1.055,-1.154,0.976
790619245,0.0972,-0.0107,-1.0576,-0.410,-0.056,3.784
790632245,0.0898,-0.0142,-1.0610,0.018,0.005,2.380
790645245,0.0767,-0.0459,-1.0630,1.605,-0.727,0.061
790658245,0.0928,-0.0073,-1.0586,-0.104,0.189,0.061
790671245,0.0918,-0.0083,-1.0425,0.506,-0.239,0.122
790684245,0.0933,-0.0073,-1.0547,1.360,-2.619,0.732
790697245,0.0859,-0.0044,-1.0405,-0.104,-0.178,-0.061
790710245,0.0918,-0.0073,-1.0586,-0.165,-0.117,-0.000
790723245,0.0913,-0.0093,-1.0459,0.323,0.311,0.122
790736245,0.0913,-0.0151,-1.0601,0.140,-0.239,-0.061
790749245,0.0957,-0.0142,-1.0547,0.201,0.189,-0.061
790762245,0.0908,-0.0137,-1.0737,0.018,-0.056,0.122
790775245,0.0933,-0.0117,-1.0532,0.140,0.128,-0.000
790788245,0.1099,-0.0459,-1.1030,2.398,0.738,0.427
790801245,0.0913,-0.0146,-1.0449,-0.104,0.250,-0.183
790814245,0.0908,-0.0088,-1.0601,0.018,0.189,-0.061
790827245,0.0972,-0.0103,-1.0664,0.079,-0.422,-0.000
790840245,0.0923,-0.0078,-1.0571,0.323,-0.361,-0.061
790853245,0.0889,-0.0156,-1.0420,0.750,-0.422,0.122
790866245,0.0889,-0.0166,-1.0654,-0.043,0.250,-0.183
790879245,0.0898,-0.0088,-1.0581,-0.226,0.250,-0.122
790892245,0.0928,-0.0107,-1.0439,-0.043,0.372,0.061
790905245,0.0933,-0.0117,-1.0625,-0.104,0.005,-0.000
790918245,0.0942,-0.0107,-1.0522,-0.104,0.128,-0.000
790931245,0.0937,-0.0063,-1.0571,-0.226,-0.056,0.122
790944245,0.0898,-0.0117,-1.0581,-0.104,-0.056,0.122
790957245,0.0898,-0.0107,-1.0557,0.018,0.189,0.061
790970245,0.0928,-0.0088,-1.0552,-0.165,0.311,-0.305
790983245,0.0937,-0.0122,-1.0557,-0.043,-0.117,-0.061
790996245,0.0928,-0.0093,-1.0635,-0.226,-0.056,-0.183
791009245,0.0894,-0.0127,-1.0640,-0.104,0.067,-0.122
791022245,0.0898,-0.0088,-1.0571,-0.043,-0.056,0.183
791035245,0.0923,-0.0117,-1.0601,-0.104,0.372,-0.122
791048245,0.0928,-0.0127,-1.0625,-0.043,-0.056,-0.183
791061245,0.0933,-0.0073,-1.0596,-0.226,0.311,0.122
791074245,0.0928,-0.0132,-1.0654,-0.226,0.372,-0.122
791087245,0.0903,-0.0098,-1.0562,0.079,-0.056,-0.122
791100245,0.0903,-0.0049,-1.0542,0.018,0.005,0.122
791113245,0.0884,-0.0122,-1.0605,-0.287,0.250,-0.183
791126245,0.0933,-0.0132,-1.0562,-0.287,0.494,0.061
791139245,0.0898,-0.0117,-1.0508,-0.165,0.311,-0.000
791152245,0.0918,-0.0117,-1.0552,0.018,0.128,-0.000
791165245,0.0913,-0.0142,-1.0581,-0.043,0.189,0.061
791178245,0.0889,-0.0176,-1.0625,-0.104,0.250,0.061
791191245,0.0933,-0.0117,-1.0576,0.018,0.128,-0.000
791204245,0.0942,-0.0039,-1.0552,-0.104,0.067,-0.000
791217245,0.0908,-0.0107,-1.0576,-0.104,0.128,-0.000
791230245,0.0879,-0.0093,-1.0620,-0.776,1.043,-0.000
791243245,0.0483,-0.0156,-1.0132,0.567,-24.286,0.915
791256245,0.1177,-0.0132,-1.0679,-3.339,1.898,-0.855
791269245,0.1084,-0.0161,-1.0498,0.445,5.560,0.488
791282245,0.1592,0.0396,-1.0381,-0.593,0.738,2.807
791295245,0.1289,-0.0312,-1.0371,-0.471,0.860,-1.465
791308245,0.1499,-0.0029,-1.0469,0.750,-2.131,-3.540
791321245,0.0581,-0.0288,-1.0308,1.055,0.616,-7.813
791334245,0.0400,-0.0312,-1.0601,1.055,-0.239,-6.531
791347245,-0.0083,-0.0161,-1.0796,0.262,0.616,-0.977
791360245,0.0908,-0.0137,-1.0498,0.201,0.921,0.122
791373245,0.0991,-0.0098,-1.0615,0.140,1.531,-0.061
791386245,0.1250,-0.0151,-1.0967,-0.043,5.499,-0.183
791399245,0.0957,-0.0137,-1.0615,-0.349,0.982,0.061
791412245,0.0933,-0.0151,-1.0542,-0.410,0.799,-0.000
791425245,0.0898,-0.0117,-1.0630,-0.532,0.921,-0.427
791438245,0.0962,-0.0078,-1.0596,-0.776,0.799,-0.550
791451245,0.0903,-0.0117,-1.0425,-0.104,-0.422,-2.381
791464245,0.0864,-0.0117,-1.0459,0.506,-13.178,-0.122
791477245,0.0864,-0.0137,-1.0576,-0.471,4.339,-0.061
791490245,0.0898,-0.0117,-1.0640,0.445,3.240,0.244
791503245,0.1494,0.0835,-1.0752,-0.837,15.875,6.408
791516245,0.1064,0.0737,-1.0308,-0.715,14.410,24.109
791529245,0.0947,0.0122,-1.0610,-3.705,34.185,27.832
791542245,0.1807,-0.0337,-1.1128,-1.264,59.393,25.879
791555245,0.0083,-0.0513,-1.0845,-1.752,57.134,24.292
791568245,-0.0020,-0.0410,-1.0171,-1.142,49.688,17.334
791581245,-0.0112,-0.0244,-1.0366,-0.165,38.458,14.465
791594245,0.1216,0.0410,-1.1006,4.229,15.814,15.808
791607245,-0.0186,-0.0596,-1.0723,3.008,9.344,12.756
791620245,0.0337,0.0503,-1.0806,2.154,11.846,11.474
791633245,0.0225,0.0396,-1.0532,0.079,10.565,16.723
791646245,0.0288,-0.0020,-1.0889,0.140,10.626,16.968
791659245,0.0146,-0.0049,-1.1060,-0.471,8.856,17.090
791672245,-0.0200,-0.0459,-1.0464,-0.349,8.795,15.503
791685245,0.0054,-0.0532,-1.0508,2.947,6.170,11.596
791698245,0.0229,-0.0562,-1.0830,8.380,6.414,8.423
791711245,0.0239,-0.0972,-1.1040,9.112,8.917,2.807
791724245,0.0259,-0.1206,-1.2173,7.830,20.696,-6.348
